1 курс;;2 курс;;3 курс;;4 курс;
История;л;Философия;л;Безопасность жизнедеятельности;л;Экономика IT-отрасли;л
Иностранный язык;л;Иностранный язык;л;Основы профессионального права;л;Информационная безопасность;п
Физическая культура и спорт;л;Физическая культура и спорт;л;Права интеллектуальной собственности;л;Управление проектом;п
Деловые коммуникации;л;Теория вероятностей и математическая статистика;т;Системный анализ;т;Проектный практикум;п
Экономика;л;Математическая логика и теория автоматов;т;Методы моделирования;т;Распределенные вычисления и приложения;п
Введение в программную инженерию;л;Основы теории систем;т;Вычислительная математика;т;Системы искусственного интеллекта;п
Профессиональная эффективность: тайм-менеджмент;л;Организация ЭВМ и системы;п;Методы искусственного интеллекта;т;Конструирование программного обеспечения;п
Высшая математика;т;Базы данных;п;Разработка и анализ требований;т;Современные сервисные платформенные решения;п
Дискретная математика;т;Системы управления базами данных;п;Проэктирование и архитектура программных систем;п;Разработка наукоемких приложений;п
Теоритические основы информатики;т;Разработка профессиональных приложений;п;Компонентно-ориентированное программирование;п;Функциональное программирование;п
Аналитическая геометрия;т;Операционные системы;п;Компьютерная графика;п;Экспертные интеллектуальные системы;п
Основы информационных технологий;п;Интернет-программирование;п;Тестирование программного обеспечивания;п;;
Основы алгоритмизации и программирования;п;Технологии создания человеко-машинных интерфейсов;п;Низкоуровневое программирование;п;;
Программирование на Java;п;Сети и телекоммуникации;п;Методы и алгоритмы конвертации данных;п;;
Специализированные пакеты профессиональной деятельности;п;;;Программирование мобильных устройств;п;;
Ознакомительная практика;п;;;Разработка прикладного программного обеспечивания;п;;
